public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,field_of_study,degree_name,school,school_linkedin_profile_url,description,logo_url,grade,activities_and_societies
"ch-divyesh-b17a9a171","1","1","2017","31","12","2021","electronics and communication","BTech - Bachelor of Technology","SRM University","https://www.linkedin.com/company/879960/",,"https://media.licdn.com/dms/image/C510BAQHO4Qj_rvGxUA/company-logo_400_400/0/1630600315247?e=1717632000&v=beta&t=ukNaKZGVAezpcWdIQVIKD1aLVGE2eq9s4rCJ0mpoSKo",,
"chaitanya-bejjanki-55ba91171","1","8","2023",,,,"Information Technology and Management ","Masters","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0","4.0",
"chaitanya-bejjanki-55ba91171","1","1","2017","31","12","2021","Electronics and Communication Engineering","Bachelor's degree","SRKR Engineering College","https://www.linkedin.com/company/15107578/",,"https://media.licdn.com/dms/image/C510BAQHis_wgU1SguA/company-logo_400_400/0/1630580954011/srkr_engineering_college_logo?e=1717632000&v=beta&t=I69eN1i6drUUCiol8l9ouzNKZb82-zhoEKIATpfcSVk",,
"chriskempczinski",,,,,,,,,"Duke University",,,"https://media.licdn.com/dms/image/D4E0BAQE1nqQztnbgIA/company-logo_400_400/0/1704127476142/duke_university_logo?e=1716422400&v=beta&t=XRQgtue2PkCZtDENX0DFGWtgNOJTjmbMvpr_74R8k3o",,
"chriskempczinski",,,,,,,,,"Harvard Business School",,,"https://media.licdn.com/dms/image/C4D0BAQF_DkXTlZVo1w/company-logo_400_400/0/1639781479259/harvard_business_school_logo?e=1716422400&v=beta&t=eOcOSWTkIzd86Uep8mM5E6D87eRJ7GrXqHk-vt3dd-M",,
"cira-pozo-sanchez","1","8","2023","30","6","2024",,"Master of Cybersecurity","Illinois Institute of Technology","https://www.linkedin.com/company/6328/","Skills: Vulnerability Assessment and Penetration Testing (VAPT) · Ethical Hacking · System and Network Security · Cybersecurity","https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"cira-pozo-sanchez","1","9","2022","30","6","2024",," MSc in Telecommunications Engineering","Universidad Politécnica de Madrid","https://www.linkedin.com/company/166617/","Skills: Gestión de proyectos · Tecnologías de redes · Instrumentación electrónica · Sistemas de telecomunicaciones · Telemática","https://media.licdn.com/dms/image/D4D0BAQHJPlcA68PA2Q/company-logo_400_400/0/1686904766811/universidad_politecnica_de_madrid_logo?e=1717632000&v=beta&t=yxg3h7Q1mtAACW6v49m0WBf1yBiU-fef-zBlGJsuUzk",,
"cira-pozo-sanchez","1","9","2018","30","6","2022","Telemática","Bachelor of Engineering in Telecommunication Technologies and Services Engineering","Universidad Politécnica de Madrid","https://www.linkedin.com/company/166617/","Skills: Arquitectura de redes · Sistemas de telecomunicaciones · Programación · Telemática · Ciberseguridad","https://media.licdn.com/dms/image/D4D0BAQHJPlcA68PA2Q/company-logo_400_400/0/1686904766811/universidad_politecnica_de_madrid_logo?e=1717632000&v=beta&t=yxg3h7Q1mtAACW6v49m0WBf1yBiU-fef-zBlGJsuUzk",,
"deekshitha-gangam","1","1","2023","31","12","2024","Information Technology and Management ","Master of Science - MS","Illinois Institute of Technology","https://www.linkedin.com/company/illinois-tech","Specialization in Data Analytics and Management","https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0","3.6/4",
"deekshitha-gangam","1","1","2017","31","12","2021","computer science and engineering","Bachelor of Technology - BTech","INSTITUTE OF AERONAUTICAL ENGINEERING","https://www.linkedin.com/company/2712285/",,"https://media.licdn.com/dms/image/D4E0BAQHy9m1CaSIb5Q/company-logo_400_400/0/1702622413342/institute_of_aeronautical_engineering_logo?e=1717632000&v=beta&t=VhKC6l6WK8eWUJSXsNoFvGJ6GEK-bVHW7Lr-jaQ4iI0","8.81/10",
